Cundy & Rollett,New Nomenclature,No. Chars,No. Transforms,,(+/-) (Char),(+/-) (Trans),Group
3⁶,3/m60/r30(1e),13,2,3/m60/r30(1e),-,-,Regular
6³,6/m30(1e)/r60,13,2,6/m30(1e)/r60,-,-,Regular
4⁴,4/m45/r(1e),11,2,4/m45/r(1e),-,-,Regular
3.12²,12-3/m60/r30(1e),16,2,12-3/m60/r30(1e),-,-,Uniform
3.4.6.4,6-4-3/m60/r30(1c),17,2,6-4-3/m60/r30(1c),-,-,Uniform
4.6.12,"12-6,4/m60/r30(1c)",18,2,"12-6,4/m60/r30(1c)",-,-,Uniform
(3.6)²,6-3-6/m30/r30(2e),17,2,6-3-6/m30/r30(2e),-,-,Uniform
4.8²,8-4/m90/r45(1e),15,2,8-4/m90/r45(1e),-,-,Uniform
3².4.3.4,"4-3-3,4/r90/r15(2e)",19,2,"4-3-4,3/r90/r75(2e)",0,0,Uniform
3³.4²,4-3/m90/r25(2e),15,2,4-3/m90/r25(2e),-,-,Uniform
3⁴.6,"6-3-3,3/r60/r41(2e)",19,2,"6-3-3,3/r60/r41(2e)",-,-,Uniform
3⁶; 3².4.3.4,3-4-3/m30/r30(1c),17,2,3-4-3/m30/r30(1c),-,-,2 Uniform
3.4.6.4; 3².4.3.4,"6-4-3,3/m30/r(2e)",17,2,"6-4-3,3/m30/r(2e)",-,-,2 Uniform
3.4.6.5; 3³.4²,6-4-3-3/r60/r30(2e),19,2,6-4-3-3/r60/r30(2e),-,-,2 Uniform
3.4.6.4; 3.4².6,"6-4-3,4-6/m30/r30(2c)",21,2,"6-4-3,4-6/m30/r30(2c)",-,-,2 Uniform
4.6.12; 3.4.6.4,"12-4,6-3/m30/r30(1c)",20,2,"12-4,6-3/m30/r30(1c)",-,-,2 Uniform
3⁶; 3².4.12,"12-3,4-3/m30/r30(1c)",20,2,"12-3,4-3/m30/r30(1c)",-,-,2 Uniform
3.12²; 3.4.3.12,12-3-4/r90/r60(1e),18,2,12-3-4/r90/r60(1e),-,-,2 Uniform
3⁶; 3².6²,3-6/m60/r90(1c),15,2,3-6/m60/r90(1c),-,-,2 Uniform
[3⁶; 3⁴.6]¹,"3-6,3/r120/m90(1e)",18,2,"3-6,3/r120/m90(1e)",-,-,2 Uniform
[3⁶; 3⁴.6]²,"6-3-3,3-3/r60/r45(3e)",21,2,"6-3-3,3-3/r60/r45(3e)",-,-,2 Uniform
3².6²; 3⁴.6,6-3/m90/r15(2e),15,2,6-3/m90/r19(2e),0,0,2 Uniform
3.6.3.6; 3².6²,"6-3,6/m90/r45(2e)",17,2,"6-3,6/m90/r45(2e)",-,-,2 Uniform
3.4².6; 3.6.3.6,"6-3,4/m90/r70(2e)",17,2,"6-3,4/m90/r70(2e)",-,-,2 Uniform
[3³.4²; 3².4.3.4]¹,"4-3,3-4,3/r90/m60(2c)",21,2,"4-3,3-4,3/r90/m60(2c)",-,-,2 Uniform
[3³.4²; 3².4.3.4]²,"4-3,3,3-4,3/r40(3e)/r270(1e)/r195(2e)",37,3,"4-3,3,3-4,3/r40(3e)/r270(1e)/r195(2e)",-,-,2 Uniform
[4⁴; 3³.4²]¹,4-3/m(1e)/m90(1e)/r15(2e),25,3,4-4-3/m0(1e)/m90(1e)/r7(3e),-2,0,2 Uniform
[4⁴; 3³.4²]²,4-4-3-3/m90/r7(3e),18,2,4-4-3-3/m90/r7(3e),-,-,2 Uniform
[3⁶; 3³.4²]¹,"4-3,4-3,3/m90/r15(3e)",21,2,"4-3,4-3,3/m90/r15(3e)",-,-,2 Uniform
[3⁶; 3³.4²]²,4-3-3-3/m90/r90(1e)/r25(4e),27,3,4-3-3-3/m90/r90(1e)/r25(4e),-,-,2 Uniform
(3.4.6.4)²; 3.4².6,"6-4-3,4-6,3/m30/m(2c)",21,2,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
(3⁶)²; 3⁴.6,"6-3-3,3/m60/r30(2e)",19,2,"6-3-3,3/m60/r30(2e)",-,-,3-Uniform (2 Vertex Types)
3⁶; (3⁴.6)²,"3-3,3-6/m90/r35(2e)",19,2,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
3⁶; (3².4.3.4)²,"3-4-3,3/m30/m(3e)",17,2,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
(3.4².6)²; 3.6.3.6,"4-6,4-0,3,3,4/m90/r30(2e)",25,2,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
3.4².6; (3.6.3.6)²,"4-6,4-0,3,3/m90/r15(2e)",23,2,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
3².6²; (3.6.3.6)²,"6-3,0,3,3,3,3/r90(1e)/r300(1e)/r240(1e)",39,3,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
(3⁴.6)²; 3.6.3.6,"6-3,3-0,3/r/r(1e)/r45(3e)",25,3,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
[3³.4²; (4⁴)²]¹,4-4-4-3/m90/r5(4e),18,2,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
[3³.4²; (4⁴)²]²,4-4-3/r(1e)/m90(1e)/r10(3e),27,3,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
[(3³.4²)²; 4⁴]¹,4-4-3-3-4/m90/r90(1e)/r10(4c),29,3,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
[(3³.4²)²; 4⁴]²,"4-3,4-3,3-4/m90/r15(4e)",23,2,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
(3³.4²)²; 3².4.3.4,"4-4,3,4-3,3,3-3,4-3-4/r/r100(2e)/r15(5e)",40,3,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
3³.4²; (3².4.3.4)²,"4-3,3-0,4,3/r/r10(2e)/r70(3e)",29,3,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
[3⁶; (3³.4²)²]¹,"4-3,0,3-3-3/r25(4e)/r165(2e)/m90(1e)",36,3,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
[3⁶; (3³.4²)²]²,"4-3,0,3-3/r25(3e)/r165(2e)/m90(1e)",34,3,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
[(3⁶)²; 3³.4²]¹,4-3-3-3-3-3/m90/r5(6e),22,2,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
[(3⁶)²; 3³.4²]²,4-3-3-3-3/m90/r0(3e)/m90(1e),28,3,#N/A,NEW,NEW,3-Uniform (2 Vertex Types)
3.4².6; 3.6.3.6; 4.6.12,"12-6,4-3,3,4/m30/r30(2c)",24,2,"12-6,4-3,3,4/m30/r30(2c)",-,-,3-Uniform (3 Vertex Types)
3⁶; 3².4.12; 4.6.12,"12-3,4,6-3/m60/m90(1c)",22,2,"12-3,4,6-3/m60/m90(1c)",-,-,3-Uniform (3 Vertex Types)
3.4.3.12; 3.4.6.4; 3.12²,"6-4-3,3-12-0,0,0,3/m30/r60(2c)",30,2,"6-4-3,3-12-0,0,0,3/m30/r60(2c)",-,-,3-Uniform (3 Vertex Types)
3³.4²; 3².4.12; 3.4.6.4,"12-4,3-6,3-0,0,4/m30/m30(2c)",28,2,"12-4,3-6,3-0,0,4/m30/m30(2c)",-,-,3-Uniform (3 Vertex Types)
3⁶; 3³.4²; 3².4.12,"12-3,4-3-3-3/m30/m30(2e)",24,2,"12-3,4-3-3-3/m30/m30(2e)",-,-,3-Uniform (3 Vertex Types)
3⁶; 3².4.3.4; 3².4.12,"12-3,4-3,3/m30/r60(2e)",22,2,"12-3,4-3,3/m30/r60(2e)",-,-,3-Uniform (3 Vertex Types)
3⁴.6; 3³.4²; 3².4.3.4,"6-3-3-4-3,3/m30/m45(5e)",23,2,"6-3-3-4-3,3/m30/m45(5e)",-,-,3-Uniform (3 Vertex Types)
3⁶; 3³.4²; 3.4.6.4,"6-4-3,4-3,3/m30/m30(2c)",23,2,"6-4-3,4-3,3/m30/m30(2c)",-,-,3-Uniform (3 Vertex Types)
3⁶; 3².4.3.4; 3.4.6.4,"3-4-3,6-4/m30/r60(2c)",21,2,"3-4-3,6-4/m30/r60(2c)",-,-,3-Uniform (3 Vertex Types)
3⁶; 3³.4²; 3².4.3.4,3-4-3-3/m30/r30(2e),19,2,3-4-3-3/m30/r30(2e),-,-,3-Uniform (3 Vertex Types)
3².4.12; 3.4.3.12; 3.12²,"12-4-3,3/m90/r20(2e)",20,2,"12-4-3,3/m90/r20(2e)",-,-,3-Uniform (3 Vertex Types)
3.4.6.4; 3.4².6; 4⁴,"6-4,3-3,0,4-6/m90/r45(2e)",25,2,"6-4,3-3,0,4-6/m90/r45(2e)",-,-,3-Uniform (3 Vertex Types)
3².4.3.4; 3.4.6.4; 3.4².6,"6-4,3-3,3,4-0,0,6,3/m90/m(2e)/r60(2c)",37,3,"6-4,3-3,3,4-0,0,6,3/m90/m(2e)/r60(2c)",-,-,3-Uniform (3 Vertex Types)
3³.4²; 3².4.3.4; 4⁴,"4-3-3-0,4/r90/r20(3e)",21,2,"4-3-3-0,4/r90/r20(3e)",-,-,3-Uniform (3 Vertex Types)
[3.4².6; 3.6.3.6; 4⁴]¹,"6-4,3,3-4,4-4/m30(2c)/r/r120(1e)",32,3,"6-4,3,3-4,4-4/m30(2c)/r/r120(1e)",-,-,3-Uniform (3 Vertex Types)
[3.4².6; 3.6.3.6; 4⁴]²,"6-4,3,3-4/m30(2e)/r/r120(1e)",28,3,"6-4,3,3-4/m30(2e)/r/r120(1e)",-,-,3-Uniform (3 Vertex Types)
3³.4²; 3².6²; 3.4².6,"4-6-3,0,3,3-0,0,4/r20(2e)/m90",29,2,"4-6-3,0,3,3-0,0,4/r20(2e)/m90",-,-,3-Uniform (3 Vertex Types)
3².6²; 3.4².6; 3.6.3.6,"4-6,4-0,3,3/r0(2e)/m90/m90(2c)",30,3,"4-6,4-0,3,3/r0(2e)/m90/m90(2c)",-,-,3-Uniform (3 Vertex Types)
3⁴.6; 3³.4²; 3.4².6,"4-6,4-0,3,3-0,3,3/r/r(1c)/r90(2e)",33,3,"4-6,4-0,3,3-0,3,3/r/r(1c)/r90(2e)",-,-,3-Uniform (3 Vertex Types)
[3².6²; 3.6.3.6; 6³]¹,"6-6-3,3,3/r60/m(2c)",19,2,"6-6-3,3,3/r60/m(2c)",-,-,3-Uniform (3 Vertex Types)
[3².6²; 3.6.3.6; 6³]²,"6-6,6,3-3,3/m/r35(3e)/r145(2e)",30,3,"6-6,6,3-3,3/m/r35(3e)/r145(2e)",-,-,3-Uniform (3 Vertex Types)
3⁴.6; 3².6²; 6³,6-3-3/m/r135(1e)/r20(2e),24,3,6-3-3/m/r135(1e)/r20(2e),-,-,3-Uniform (3 Vertex Types)
3⁶; 3².6²; 6³,3-6/r60/m30(1c),15,2,3-6/r60/m30(1c),-,-,3-Uniform (3 Vertex Types)
[3⁶; 3⁴.6; 3².6²]¹,"6-3-3,3-3,3-0,3/r90(1e)/r225(1e)/r30(3e)",40,3,"6-3-3,3-3,3-0,3/r90(1e)/r225(1e)/r30(3e)",-,-,3-Uniform (3 Vertex Types)
6; 3⁴.6; 3².6²,"3-3,6-3/m/r35(2e)/r135(1c)",26,3,"3-3,6-3/m/r35(2e)/r135(1c)",-,-,3-Uniform (3 Vertex Types)
[3⁶; 3⁴.6; 3².6²]²,6-3-3/m90/r15(3e),17,2,6-3-3/r15(3e)/m/r,0,-1,3-Uniform (3 Vertex Types)
[3⁶; 3⁴.6; 3.6.3.6]¹,"3-3,3-3,6,3/m90/r90(2e)/r(2e)",29,3,"3-3,3-3,6,3/m90/r90(2e)/r(2e)",-,-,3-Uniform (3 Vertex Types)
[3⁶; 3⁴.6; 3.6.3.6]²,"3-3-6-0,3/r60/m60(2c)",21,2,"3-3-6-0,3/r60/m60(2c)",-,-,3-Uniform (3 Vertex Types)
[3⁶; 3⁴.6; 3.6.3.6]³,3-3-6/r60/r30(2e),17,2,3-3-6/r60/r30(2e),-,-,3-Uniform (3 Vertex Types)
[3⁶; 3³.4²; 4⁴]¹,4-4-3-3/m90/r(3e)/r90(1e),25,3,4-4-3-3/m90/r(3e)/r90(1e),-,-,3-Uniform (3 Vertex Types)
[3⁶; 3³.4²; 4⁴]²,4-4-3-3-3/m90/r5(5e)/r90(1e),28,3,4-4-3-3-3/m90/r5(5e)/r90(1e),-,-,3-Uniform (3 Vertex Types)
[3⁶; 3³.4²; 4⁴]³,4-4-3-3-3/r0(1e)/r0(3e)/m90(1e),31,3,4-4-3-3-3/r0(1e)/r0(3e)/m90(1e),-,-,3-Uniform (3 Vertex Types)
[3⁶; 3³.4²; 4⁴]⁴,4-4-3-3-3/r0(1e)/r7(5e)/m90(1e),31,3,4-4-3-3-3/r0(1e)/r7(5e)/m90(1e),-,-,3-Uniform (3 Vertex Types)
(3.4.6.4)²; (4.6.12)²,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3.3.4.3.4)²; (3.4.6.4)²,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3.3.4.3.4)²; (3.4.6.4)²,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3⁴.6)²; (3.6.3.6)²,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3⁶)²; (3⁴.6)²,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3³.4²)²; (3.3.4.3.4)²,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3³.4²)²; (4⁴)²,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3³.4²)²; (4⁴)²,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3³.4²)²; (4⁴)²,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3⁶)²; (3³.4²)²,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3⁶)²; (3³.4²)²,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3⁶)²; (3³.4²),,0,-,#N/A,,,4-Uniform (2 Vertex Types)
3.4.3.12; (3.12²)³,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3⁴6)³; 3.6.3.6,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
3⁶; (3⁴.6)³,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3⁶)³; 3⁴.6,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3⁶)³; 3⁴.6,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3³.4²)³; 3.3.4.3.4,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
3³.4²; (3.3.4.3.4)³,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
3.4.4.6; (3.6.3.6)³,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
3.4.4.6; (3.6.3.6)³,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
3².6²; (3.6.3.6)³,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
3².6²; (3.6.3.6)³,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
3³.4²; (4⁴)³,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
3³.4²; (4⁴)³,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3³.4²)³; 4⁴,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3³.4²)³; 4⁴,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3.³4²)³; 4⁴,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
3⁶; (3³.4²)³,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
3⁶; (3³.4²)³,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
3⁶; (3³.4²)³,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3⁶)³; 3³.4²,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
(3⁶)³; 3³.4²,,0,-,#N/A,,,4-Uniform (2 Vertex Types)
3.4.6.4; (3.4.4.6)²; 4.6.1.2,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3.4.6.4; 3.4.4.6; (4.6.1.2)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3.3.4.1.2; 3.4.6.4; (3.1.2²)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3.4.3.1.2; 3.4.6.4; (3.1.2²)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3.3.4.3.4; 3.4.3.1.2; (3.4.6.4)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3⁶)²; 3³.4²; 3.3.4.1.2,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3.4.6.4)²; 3.4.4.6; 3.6.3.6,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3.4.6.4; 3.4.4.6; (3.6.3.6)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3.4.6.4; (3.4.4.6)²; 3.6.3.6,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3⁶)²; 3³.4²; 3.3.4.3.4,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3⁶)²; 3³.4²; 3.3.4.3.4,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; 3².6²; (6³)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; 3².6²; (6³)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; (3².6²)²; 6³,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; (3².6²)²; 6³,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; 3².6²; (6³)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; 3².6²; (6³)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; (3⁴.6)²; 3².6²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; (3².6²)²; 3.6.3.6,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3⁴.6)²; 3².6²; 6³,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3⁴.6)²; 3².6²; 6³,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁴.6; 3².6²; (3.6.3.6)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁴.6; 3².6²; (3.6.3.6)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3³.4²; 3.3.4.3.4; (3.4.6.4)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; 3.3.4.3.4; (3.4.6.4)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; (3.3.4.3.4)²; 3.4.6.4,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; (3³.4²)²; 3.4.6.4,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3.4.6.4)²; 3.4.4.6; 3.6.3.6,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁴.6; (3.3.4.3.4)²; 3.4.4.6,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; 3³.4²; (3.3.4.3.4)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; 3³.4²; (3.3.4.3.4)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3³.4²)²; 3.3.4.3.4; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3³.4²)²; 3.3.4.3.4; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3.4.6.4; (3.4.4.6)²; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3.3.4.3.4; (3.3.4.1.2)²; 3.4.3.1.2,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; (3².6²)²; 6³,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; (3².6²)²; 6³,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; 3⁴.6; (3².6²)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
[(3⁶)²; 3⁴.6; 3².6²]¹,6-3-3-3/m90/r15(4e),19,2,6-3-3-3/r15(4e)/m/r,0,-1,4-Uniform (3 Vertex Types)
[(3⁶)²; 3⁴.6; 3².6²]²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3⁶)²; 3⁴.6; 3.6.3.6,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁴.6; (3².6²)²; 3.6.3.6,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁴.6; (3².6²)²; 3.6.3.6,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3⁴.6)²; 3².6²; 3.6.3.6,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3⁴.6)²; 3².6²; 3.6.3.6,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; 3⁴.6; (3.6.3.6)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3².6²; (3.6.3.6)²; 6³,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3².6²; (3.6.3.6)²; 6³,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3².6²)²; 3.6.3.6; 6³,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3².6²; 3.6.3.6; (6³)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁴.6; 3².6²; (6³)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁴.6; (3².6²)²; 3.6.3.6,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3².6²; 3.4.4.6; (3.6.3.6)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3².6²; 3.4.4.6; (3.6.3.6)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁴.6; (3³.4²)²; 3.6.3.6,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁴.6; (3³.4²)²; 3.6.3.6,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁴.6; 3³.4²; (3.4.4.6)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3.4.4.6; 3.6.3.6; (4⁴)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3.4.4.6; 3.6.3.6; (4⁴)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3.4.4.6; 3.6.3.6; (4⁴)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3.4.4.6; 3.6.3.6; (4⁴)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3.4.4.6)²; 3.6.3.6; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3.4.4.6)²; 3.6.3.6; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3.4.4.6)²; 3.6.3.6; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3.4.4.6)²; 3.6.3.6; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3.4.4.6)²; 3.6.3.6; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3.4.4.6)²; 3.6.3.6; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3.4.4.6)²; 3.6.3.6; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3.4.4.6)²; 3.6.3.6; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3.4.4.6; (3.6.3.6)²; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3.4.4.6; (3.6.3.6)²; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3.4.4.6; (3.6.3.6)²; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3.4.4.6; (3.6.3.6)²; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; 3³.4²; (4⁴)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; 3³.4²; (4⁴)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; (3³.4²)²; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; 3³.4²; (4⁴)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; 3³.4²; (4⁴)²,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; (3³.4²)²; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; (3³.4²)²; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
3⁶; (3³.4²)²; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3⁶)²; 3³.4²; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3⁶)²; 3³.4²; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3⁶)²; 3³.4²; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3⁶)²; 3³.4²; 4⁴,,0,-,#N/A,,,4-Uniform (3 Vertex Types)
(3.4.6.4)⁴; 4.6.1.2,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
3.4.3.1.2; (3.1.2.1.2)⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
3⁶; (3.3.4.3.4)⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
3⁶; (3.3.4.3.4)⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
(3⁶)⁴; 3⁴.6,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
(3⁶)⁴; 3⁴.6,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
(3⁶)⁴; 3⁴.6,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
3⁶; (3⁴.6)⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
3².6²; (3.6.3.6)⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
(3⁴.6)⁴; 3².6²,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
(3⁴.6)⁴; 3².6²,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
(3⁴.6)⁴; 3.6.3.6,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
3².6²; (3.6.3.6)⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
3.4.4.6; (3.6.3.6)⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
3.4.4.6; (3.6.3.6)⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
(3³.4²)⁴; 3.3.4.3.4,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
3³.4²; (3.3.4.3.4)⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
3³.4²; (4⁴)⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
3³.4²; (4⁴)⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
(3³.4²)⁴; 4⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
(3³.4²)⁴; 4⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
(3³.4²)⁴; 4⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
3⁶; (3³.4²)⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
3⁶; (3³.4²)⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
3⁶; (3³.4²)⁴,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
(3⁶)⁴; 3³.4²,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
(3⁶)⁴; 3³.4²,,0,-,#N/A,,,5-Uniform (2 Vertex Types)
